iter	MultiClass
0	0.8797013598
1	0.7506503789
2	0.6658986183
3	0.6081899911
4	0.5661989777
5	0.5372054113
6	0.513302438
7	0.4955643805
8	0.4825617496
9	0.4718879447
10	0.4639649979
11	0.4584103715
12	0.4535670744
13	0.4496439109
14	0.446998338
15	0.4444009442
16	0.4423945153
17	0.440940768
18	0.4399994839
19	0.4389669464
20	0.438053351
21	0.4373126947
22	0.4363958996
23	0.4356956871
24	0.4351360772
25	0.4345558128
26	0.4342059994
27	0.4339400659
28	0.4336636409
29	0.4332094182
30	0.4330093789
31	0.4327975796
32	0.4324342904
33	0.4323021893
34	0.4320149029
35	0.4318518135
36	0.4316620472
37	0.4313840486
38	0.431074453
39	0.4309995402
40	0.4308413031
41	0.4306327556
42	0.4305538652
43	0.4305030307
44	0.4303176402
45	0.4301564885
46	0.4301016645
47	0.4300426447
48	0.4298779785
49	0.429794452
50	0.4297552829
51	0.429651834
52	0.4295884515
53	0.4295102794
54	0.4293838332
55	0.4293136563
56	0.4291557476
57	0.4290338053
58	0.4288680303
59	0.4287588833
60	0.428723031
61	0.4286467318
62	0.428575051
63	0.4284773646
64	0.4283687504
65	0.4283291719
66	0.4283023092
67	0.4282084071
68	0.4281292679
69	0.4280212027
70	0.4279617076
71	0.4279105093
72	0.4278202023
73	0.4276066319
74	0.4275520187
75	0.427523893
76	0.4274485405
77	0.4274097917
78	0.4273099587
79	0.4272284883
80	0.4271842708
81	0.4271334331
82	0.4270622651
83	0.4269878674
84	0.4269485985
85	0.4268530716
86	0.4267152939
87	0.4266596381
88	0.4266014216
89	0.4265332049
90	0.4264780776
91	0.4264565295
92	0.4264286566
93	0.426395524
94	0.4263110166
95	0.4262304056
96	0.4261463057
97	0.4260641299
98	0.4259944812
99	0.4259432892
100	0.4258933926
101	0.4258679351
102	0.4258235001
103	0.4257464871
104	0.4256929686
105	0.4256711927
106	0.4256394267
107	0.4255152787
108	0.4254525335
109	0.4254084661
110	0.4253292699
111	0.4252795658
112	0.4252388671
113	0.4251681048
114	0.4251342146
115	0.4249670894
116	0.4248826379
117	0.4248415189
118	0.4247185749
119	0.4246286195
120	0.4245602342
121	0.4245138535
122	0.4244675417
123	0.4244433198
124	0.4243834294
125	0.4243296737
126	0.4243019737
127	0.4242583574
128	0.4241746002
129	0.4240745111
130	0.4239950202
131	0.4239300958
132	0.4239186539
133	0.4238955546
134	0.4238697247
135	0.4238428841
136	0.4237940075
137	0.4237319892
138	0.4237045228
139	0.4235917777
140	0.423567204
141	0.4235496255
142	0.4234786336
143	0.4234544529
144	0.4234125917
145	0.42337903
146	0.4233495398
147	0.4233045163
148	0.4232716784
149	0.4232479052
150	0.4231591401
151	0.4230990864
152	0.4230613037
153	0.4230334757
154	0.4229825009
155	0.4229422964
156	0.4229100493
157	0.4228908118
158	0.42284086
159	0.4228113321
160	0.4227790639
161	0.422705988
162	0.4226730411
163	0.4226376363
164	0.4225430307
165	0.4225115468
166	0.4224752629
167	0.4224559247
168	0.4223825119
169	0.4223018124
170	0.4222810858
171	0.4222455705
172	0.4221610866
173	0.4221291679
174	0.4221024863
175	0.4220745824
176	0.4220582493
177	0.4219358246
178	0.4218913607
179	0.4218579687
180	0.4218255159
181	0.4217314279
182	0.4216731987
183	0.4216383418
184	0.4215909465
185	0.4215224209
186	0.4214913306
187	0.4214693698
188	0.4213994868
189	0.4213555921
190	0.4213083677
191	0.4212652911
192	0.4212321228
193	0.4212132859
194	0.4211803542
195	0.4211381574
196	0.421091272
197	0.421065795
198	0.4210528249
199	0.4210290925
200	0.420984444
201	0.4209614785
202	0.4209247509
203	0.4208503464
204	0.4208259638
205	0.4207921169
206	0.4207507667
207	0.4207208556
208	0.4206780165
209	0.420652322
210	0.4205879728
211	0.4205753948
212	0.4205465887
213	0.4205105605
214	0.4204856531
215	0.4204553255
216	0.420434576
217	0.4204055555
218	0.4203624117
219	0.4203224599
220	0.4202668841
221	0.4201967086
222	0.4200618245
223	0.4200132796
224	0.4199900187
225	0.419969309
226	0.4199382377
227	0.4198736327
228	0.4198511935
229	0.4198219426
230	0.4198077882
231	0.4197063068
232	0.4196424157
233	0.4196273575
234	0.4195732829
235	0.4195340025
236	0.4194926037
237	0.4194601787
238	0.4194334735
239	0.4193890553
240	0.4193558595
241	0.4193218435
242	0.4192961409
243	0.4192751174
244	0.4192575237
245	0.419234433
246	0.4192046735
247	0.4191492264
248	0.4191233794
249	0.4190947508
250	0.4190785314
251	0.4189951834
252	0.4189789177
253	0.4189504084
254	0.4189272909
255	0.4188472726
256	0.4188110265
257	0.4187906539
258	0.4187072111
259	0.4186736037
260	0.4186608299
261	0.4186412748
262	0.4186046776
263	0.4185611949
264	0.4185460439
265	0.4185153783
266	0.4184657898
267	0.4183558122
268	0.4183125191
269	0.4182945743
270	0.4182580353
271	0.4182311098
272	0.4182002897
273	0.4181422707
274	0.4181304329
275	0.4181161236
276	0.4180883619
277	0.4180584618
278	0.4180328489
279	0.417981145
280	0.4179677075
281	0.417936228
282	0.4179055897
283	0.4178659084
284	0.4178382593
285	0.4178080354
286	0.4177761582
287	0.4177511919
288	0.4176774285
289	0.4176432021
290	0.417615177
291	0.4175782856
292	0.4174689687
293	0.417440861
294	0.4174011546
295	0.4173843324
296	0.4173688124
297	0.417339445
298	0.4173140993
299	0.4172882454
300	0.4172578059
301	0.4172274673
302	0.417193236
303	0.4171628327
304	0.4171156037
305	0.4170712356
306	0.4170550725
307	0.416967388
308	0.4169304033
309	0.416875856
310	0.4168474222
311	0.4168069944
312	0.4167777445
313	0.4167638982
314	0.4166933984
315	0.4166467768
316	0.4166193677
317	0.4165922454
318	0.4165353353
319	0.4164857035
320	0.4164594908
321	0.4164435737
322	0.4164260919
323	0.4163938863
324	0.4163599411
325	0.4163169811
326	0.4162850424
327	0.4162575217
328	0.4162137525
329	0.4161979666
330	0.4161608222
331	0.4161212713
332	0.4161081671
333	0.4160952199
334	0.416064097
335	0.4160261881
336	0.4159756387
337	0.4159552121
338	0.4159138636
339	0.4158692072
340	0.4158447084
341	0.4157741917
342	0.4157296483
343	0.4156936151
344	0.4156538999
345	0.4156369738
346	0.4156241947
347	0.4155952336
348	0.4155775512
349	0.4155301177
350	0.4155091839
351	0.41547351
352	0.415439571
353	0.4153752497
354	0.4153271092
355	0.4153104329
356	0.4152881968
357	0.4152602015
358	0.4151985543
359	0.4151797365
360	0.4151576547
361	0.4151186317
362	0.4150743526
363	0.4149935193
364	0.4149574974
365	0.4148999358
366	0.4148638487
367	0.4148273328
368	0.414813254
369	0.4147675634
370	0.4147321186
371	0.4147014609
372	0.4146553394
373	0.4146208941
374	0.4146131222
375	0.4145971428
376	0.4145694121
377	0.4144965643
378	0.4144565878
379	0.4144476462
380	0.4144128938
381	0.4143673198
382	0.4143227635
383	0.4142858146
384	0.4142748238
385	0.4142364171
386	0.4141943505
387	0.4141766434
388	0.414133413
389	0.4140982344
390	0.4140769732
391	0.4140596463
392	0.4140359623
393	0.414002586
394	0.4139827442
395	0.4139626615
396	0.4139416797
397	0.4138953991
398	0.4138366194
399	0.4138056229
400	0.4137600984
401	0.4137350226
402	0.4137286033
403	0.4136823147
404	0.4136229994
405	0.413587662
406	0.4135652649
407	0.4135460717
408	0.4135144153
409	0.4135015246
410	0.4134924557
411	0.4134537411
412	0.413420167
413	0.4133902754
414	0.4133648716
415	0.4133396971
416	0.4132983309
417	0.4132444533
418	0.4131990298
419	0.4131434264
420	0.4131060281
421	0.4130847988
422	0.4130704554
423	0.4130592747
424	0.4130391621
425	0.4130167648
426	0.4130015644
427	0.4129838254
428	0.4129372566
429	0.412888581
430	0.412869604
431	0.4128483564
432	0.4128372844
433	0.4128076384
434	0.4127839856
435	0.4127730243
436	0.4127426663
437	0.4127213867
438	0.4126998929
439	0.4126891242
440	0.412672499
441	0.4126605838
442	0.4126253142
443	0.4126146433
444	0.4125950225
445	0.4125655006
446	0.4125410873
447	0.4125150359
448	0.4124568375
449	0.4124384423
450	0.4124098063
451	0.4123906732
452	0.4123826405
453	0.4123236623
454	0.4123059162
455	0.4122855671
456	0.4122777692
457	0.4122677583
458	0.41223935
459	0.4121886224
460	0.4121770948
461	0.4121554308
462	0.4121305979
463	0.4121190335
464	0.4120623777
465	0.4119871095
466	0.4119654359
467	0.4119512041
468	0.4119321985
469	0.4119083845
470	0.4118669367
471	0.4118405003
472	0.411825009
473	0.4118117481
474	0.4117762359
475	0.4117514799
476	0.4116837642
477	0.4116373415
478	0.4116131291
479	0.4115830478
480	0.4115513259
481	0.4115393891
482	0.4115256095
483	0.4115017573
484	0.4114662603
485	0.4114563616
486	0.4114148315
487	0.4113819795
488	0.4113581815
489	0.4113297553
490	0.4113045345
491	0.4112563347
492	0.4112394502
493	0.4112188018
494	0.4111851965
495	0.4111720459
496	0.411124389
497	0.4110806125
498	0.411027827
499	0.4110022775
500	0.4109687629
501	0.4109408368
502	0.4109114796
503	0.4108919327
504	0.4108706983
505	0.4108543077
506	0.4108419339
507	0.4107998444
508	0.4107823896
509	0.4107551674
510	0.4107228688
511	0.4106925045
512	0.4106814117
513	0.4106600071
514	0.4106368521
515	0.4105907213
516	0.4105809625
517	0.4105650504
518	0.4105062319
519	0.4104927663
