iter	Passed	Remaining
0	23	23971
1	41	20683
2	61	20401
3	79	19767
4	96	19228
5	114	18994
6	132	18849
7	152	18891
8	171	18892
9	197	19530
10	219	19737
11	250	20643
12	269	20436
13	290	20471
14	315	20717
15	333	20530
16	359	20792
17	378	20652
18	399	20628
19	426	20874
20	447	20859
21	475	21138
22	496	21092
23	516	20995
24	542	21176
25	563	21099
26	585	21109
27	620	21549
28	641	21480
29	663	21455
30	683	21356
31	702	21250
32	724	21244
33	744	21147
34	766	21143
35	787	21086
36	807	21025
37	830	21016
38	852	21001
39	870	20898
40	894	20933
41	913	20834
42	938	20885
43	955	20769
44	976	20713
45	994	20623
46	1012	20531
47	1031	20461
48	1049	20366
49	1077	20464
50	1097	20423
51	1122	20463
52	1142	20408
53	1162	20364
54	1187	20398
55	1207	20361
56	1234	20415
57	1253	20354
58	1271	20284
59	1290	20210
60	1308	20135
61	1325	20055
62	1345	20013
63	1366	19977
64	1386	19944
65	1406	19899
66	1428	19891
67	1449	19872
68	1472	19872
69	1489	19793
70	1506	19713
71	1528	19694
72	1548	19668
73	1578	19752
74	1599	19723
75	1624	19750
76	1643	19705
77	1662	19649
78	1681	19606
79	1700	19553
80	1718	19501
81	1741	19493
82	1764	19498
83	1789	19510
84	1810	19484
85	1829	19448
86	1848	19396
87	1866	19342
88	1883	19281
89	1902	19239
90	1930	19279
91	1953	19278
92	1973	19245
93	1997	19250
94	2017	19216
95	2042	19235
96	2074	19307
97	2098	19311
98	2120	19301
99	2144	19298
100	2164	19269
101	2189	19275
102	2208	19232
103	2234	19252
104	2265	19312
105	2282	19249
106	2313	19304
107	2331	19256
108	2355	19254
109	2373	19200
110	2393	19167
111	2421	19195
112	2442	19170
113	2460	19125
114	2482	19101
115	2508	19112
116	2531	19103
117	2553	19086
118	2574	19060
119	2598	19054
120	2632	19124
121	2656	19118
122	2692	19197
123	2719	19213
124	2744	19210
125	2779	19278
126	2837	19505
127	2875	19586
128	2914	19677
129	2942	19695
130	2987	19816
131	3018	19849
132	3040	19818
133	3083	19930
134	3105	19901
135	3133	19908
136	3157	19891
137	3182	19880
138	3218	19935
139	3245	19936
140	3275	19956
141	3299	19934
142	3333	19975
143	3363	19993
144	3386	19968
145	3415	19977
146	3437	19949
147	3458	19910
148	3485	19904
149	3505	19862
150	3523	19812
151	3545	19781
152	3566	19742
153	3598	19769
154	3621	19745
155	3648	19738
156	3673	19723
157	3700	19718
158	3722	19691
159	3747	19674
160	3768	19640
161	3791	19615
162	3811	19572
163	3834	19544
164	3855	19510
165	3884	19514
166	3905	19480
167	3928	19456
168	3946	19408
169	3965	19362
170	3985	19322
171	4013	19319
172	4036	19298
173	4074	19341
174	4096	19311
175	4117	19275
176	4140	19252
177	4161	19219
178	4190	19218
179	4212	19191
180	4234	19158
181	4254	19120
182	4271	19070
183	4289	19021
184	4306	18972
185	4323	18922
186	4340	18870
187	4357	18820
188	4374	18771
189	4401	18762
190	4424	18741
191	4443	18701
192	4461	18656
193	4478	18606
194	4496	18561
195	4513	18512
196	4530	18467
197	4547	18420
198	4569	18393
199	4595	18380
200	4615	18347
201	4643	18343
202	4661	18303
203	4689	18298
204	4708	18260
205	4725	18212
206	4743	18170
207	4759	18123
208	4778	18084
209	4797	18048
210	4815	18007
211	4831	17957
212	4847	17911
213	4865	17871
214	4890	17856
215	4907	17812
216	4926	17777
217	4942	17731
218	4963	17699
219	4983	17670
220	5002	17631
221	5026	17615
222	5044	17575
223	5060	17529
224	5075	17482
225	5094	17448
226	5111	17407
227	5132	17378
228	5150	17341
229	5170	17311
230	5188	17271
231	5206	17236
232	5224	17197
233	5241	17158
234	5258	17118
235	5275	17077
236	5292	17039
237	5313	17011
238	5330	16971
239	5349	16940
240	5368	16908
241	5386	16870
242	5405	16839
243	5425	16811
244	5442	16772
245	5461	16738
246	5478	16701
247	5495	16663
248	5512	16624
249	5530	16592
250	5549	16560
251	5572	16540
252	5589	16504
253	5608	16471
254	5624	16433
255	5641	16396
256	5662	16371
257	5679	16333
258	5697	16299
259	5714	16265
260	5743	16263
261	5760	16225
262	5776	16187
263	5793	16150
264	5809	16111
